@relation 'bachelor-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-2,6-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1'

@attribute age numeric
@attribute hometown numeric
@attribute enliminated numeric
@attribute haircolor {Blonde,Brown,Red,Lightbrown,Black,Bald}
@attribute ethnicity {Caucasion,AfricanAmerican,Asian,Hispanic,European}
@attribute limoordere numeric

@data
26,3,16,Brown,Caucasion,22
28,3,15,Brown,Caucasion,7
29,2,14,Brown,Caucasion,4
30,3,13,Brown,European,10
28,3,12,Brown,Caucasion,24
25,2,11,Brown,Caucasion,9
35,2,10,Brown,European,15
28,4,9,Brown,Caucasion,14
27,4,8,Black,Caucasion,8
28,4,7,Black,European,11
29.124481,6,6,Blonde,Caucasion,19
29,1,5,Brown,Caucasion,17
26,1,4,Blonde,Caucasion,2
27,2,3,Blonde,Caucasion,12
28,4,2,Brown,Caucasion,18
35,4,1,Brown,Caucasion,6
27,1,25,Brown,Caucasion,11
30,1,24,Brown,Caucasion,6
28,3,23,Blonde,Caucasion,1
25,2,22,Blonde,Caucasion,8
30,2,21,Brown,Caucasion,19
33,1,20,Brown,Caucasion,3
30,3,19,Blonde,Caucasion,20
31,3,18,Brown,Caucasion,24
27,3,17,Brown,Caucasion,25
25,1,16,Black,Hispanic,23
25,1,15,Blonde,Caucasion,17
32,3,14,Brown,Caucasion,14
26,3,13,Brown,Caucasion,21
31,1,12,Brown,Caucasion,15
30,2,11,Brown,Caucasion,10
26,4,10,Brown,Hispanic,13
29,1,9,Brown,Caucasion,7
36,1,8,Brown,Caucasion,9
27,3,7,Brown,Caucasion,5
41,1,6,Brown,Caucasion,18
33,3,5,Brown,Caucasion,2
29,2,4,Brown,Caucasion,4
35,1,3,Brown,Caucasion,22
29,1,2,Bald,AfricanAmerican,12
30,1,1,Brown,Caucasion,16
27,1,25,Brown,Caucasion,16
27,1,24,Brown,Caucasion,1
28,1,23,Brown,Caucasion,2
31,3,22,Brown,Caucasion,10
33,3,21,Brown,Caucasion,5
27,2,20,Black,Hispanic,11
31,3,19,Blonde,Hispanic,19
29,1,18,Brown,Hispanic,6
28,3,17,Brown,Caucasion,25
26,1,16,Brown,Caucasion,4
30,2,15,Brown,Hispanic,8
27,1,14,Brown,Caucasion,3
28,1,13,Brown,Caucasion,14
26,1,12,Blonde,Caucasion,20
29,3,11,Brown,Caucasion,21
30,1,10,Brown,Hispanic,24
27,3,9,Brown,Caucasion,23
30,1,8,Brown,Caucasion,18
28,2,7,Black,AfricanAmerican,7
29,1,6,Black,Hispanic,15
26,3,5,Brown,Caucasion,9
34,1,4,Brown,Caucasion,12
32,1,3,Brown,Caucasion,22
28,3,2,Black,Hispanic,17
26,2,1,Brown,European,13
26,3,13.275109,Brown,Caucasion,?
31,4,13.275109,Brown,Caucasion,?
29,1,13.275109,Brown,Caucasion,?
30,4,13.275109,Brown,Caucasion,?
29,3,13.275109,Black,Hispanic,?
30,1,13.275109,Brown,Hispanic,?
30,1,13.275109,Brown,Caucasion,?
31,1,13.275109,Brown,Caucasion,?
26,1,13.275109,Black,AfricanAmerican,?
32,2,13.275109,Black,Caucasion,?
28,1,13.275109,Brown,Caucasion,?
26,4,13.275109,Brown,Caucasion,?
26,4,13.275109,Brown,Caucasion,?
